Rank,Company,Fortune.com link about company,Website
1,Walmart,http://fortune.com/fortune500/walmart-1/,www.walmart.com
2,Exxon Mobil,http://fortune.com/fortune500/exxon-mobil-2/,www.exxonmobil.com
3,Chevron,http://fortune.com/fortune500/chevron-3/,www.chevron.com
4,Berkshire Hathaway,http://fortune.com/fortune500/berkshire-hathaway-4/,www.berkshirehathaway.com
5,Apple,http://fortune.com/fortune500/apple-5/,www.apple.com
6,General Motors,http://fortune.com/fortune500/general-motors-6/,www.gm.com
7,Phillips 66,http://fortune.com/fortune500/phillips-66-7/,www.phillips66.com
8,General Electric,http://fortune.com/fortune500/general-electric-8/,www.ge.com
9,Ford Motor,http://fortune.com/fortune500/ford-motor-9/,www.ford.com
10,CVS Health,http://fortune.com/fortune500/cvs-health-10/,www.cvshealth.com
11,McKesson,http://fortune.com/fortune500/mckesson-11/,www.mckesson.com
12,AT&T,http://fortune.com/fortune500/att-12/,www.att.com
13,Valero Energy,http://fortune.com/fortune500/valero-energy-13/,www.valero.com
14,UnitedHealth Group,http://fortune.com/fortune500/unitedhealth-group-14/,www.unitedhealthgroup.com
15,Verizon,http://fortune.com/fortune500/verizon-15/,www.verizon.com
16,AmerisourceBergen,http://fortune.com/fortune500/amerisourcebergen-16/,www.amerisourcebergen.com
17,Fannie Mae,http://fortune.com/fortune500/fannie-mae-17/,www.fanniemae.com
18,Costco,http://fortune.com/fortune500/costco-18/,www.costco.com
19,HP,http://fortune.com/fortune500/hp-19/,www.hp.com
20,Kroger,http://fortune.com/fortune500/kroger-20/,www.thekrogerco.com
21,JP Morgan Chase,http://fortune.com/fortune500/jp-morgan-chase-21/,www.jpmorganchase.com
22,Express Scripts Holding,http://fortune.com/fortune500/express-scripts-holding-22/,www.express-scripts.com
23,Bank of America Corp.,http://fortune.com/fortune500/bank-of-america-corp-23/,www.bankofamerica.com
24,IBM,http://fortune.com/fortune500/ibm-24/,www.ibm.com
25,Marathon Petroleum,http://fortune.com/fortune500/marathon-petroleum-25/,www.marathonpetroleum.com
26,Cardinal Health,http://fortune.com/fortune500/cardinal-health-26/,www.cardinal.com
27,Boeing,http://fortune.com/fortune500/boeing-27/,www.boeing.com
28,Citigroup,http://fortune.com/fortune500/citigroup-28/,www.citigroup.com
29,Amazon.com,http://fortune.com/fortune500/amazon-com-29/,www.amazon.com
30,Wells Fargo,http://fortune.com/fortune500/wells-fargo-30/,www.wellsfargo.com
31,Microsoft,http://fortune.com/fortune500/microsoft-31/,www.microsoft.com
32,Procter & Gamble,http://fortune.com/fortune500/procter-gamble-32/,www.pg.com
33,Home Depot,http://fortune.com/fortune500/home-depot-33/,www.homedepot.com
34,Archer Daniels Midland,http://fortune.com/fortune500/archer-daniels-midland-34/,www.adm.com
35,Walgreens,http://fortune.com/fortune500/walgreens-35/,www.walgreensbootsalliance.com
36,Target,http://fortune.com/fortune500/target-36/,www.target.com
37,Johnson & Johnson,http://fortune.com/fortune500/johnson-johnson-37/,www.jnj.com
38,Anthem,http://fortune.com/fortune500/anthem-38/,www.antheminc.com
39,MetLife,http://fortune.com/fortune500/metlife-39/,www.metlife.com
40,Alphabet,http://fortune.com/fortune500/google-40/,www.google.com
41,State Farm Insurance Cos.,http://fortune.com/fortune500/state-farm-insurance-cos-41/,www.statefarm.com
42,Freddie Mac,http://fortune.com/fortune500/freddie-mac-42/,www.freddiemac.com
43,Comcast,http://fortune.com/fortune500/comcast-43/,www.comcastcorporation.com
44,PepsiCo,http://fortune.com/fortune500/pepsi-44/,www.pepsico.com
45,United Technologies,http://fortune.com/fortune500/united-technologies-45/,www.utc.com
46,AIG,http://fortune.com/fortune500/aig-46/,www.aig.com
47,UPS,http://fortune.com/fortune500/ups-47/,www.ups.com
48,Dow Chemical,http://fortune.com/fortune500/dow-chemical-48/,www.dow.com
49,Aetna,http://fortune.com/fortune500/aetna-49/,www.aetna.com
50,Lowe's,http://fortune.com/fortune500/lowes-50/,www.lowes.com
51,ConocoPhillips,http://fortune.com/fortune500/conocophillips-51/,www.conocophillips.com
52,Intel,http://fortune.com/fortune500/intel-52/,www.intel.com
53,Energy Transfer Equity,http://fortune.com/fortune500/energy-transfer-equity-53/,www.energytransfer.com
54,Caterpillar,http://fortune.com/fortune500/caterpillar-54/,www.caterpillar.com
55,Prudential Financial,http://fortune.com/fortune500/prudential-financial-55/,www.prudential.com
56,Pfizer,http://fortune.com/fortune500/pfizer-56/,www.pfizer.com
57,Walt Disney,http://fortune.com/fortune500/disney-57/,www.disney.com
58,Humana,http://fortune.com/fortune500/humana-58/,www.humana.com
59,Enterprise Products Partners,http://fortune.com/fortune500/enterprise-products-partners-59/,www.enterpriseproducts.com
60,Cisco Systems,http://fortune.com/fortune500/cisco-systems-60/,www.cisco.com
61,Sysco,http://fortune.com/fortune500/sysco-61/,www.sysco.com
62,Ingram Micro,http://fortune.com/fortune500/ingram-micro-62/,www.ingrammicro.com
63,Coca-Cola,http://fortune.com/fortune500/coca-cola-63/,www.coca-colacompany.com
64,Lockheed Martin,http://fortune.com/fortune500/lockheed-martin-64/,www.lockheedmartin.com
65,FedEx,http://fortune.com/fortune500/fedex-65/,www.fedex.com
66,Johnson Controls,http://fortune.com/fortune500/johnson-controls-66/,www.johnsoncontrols.com
67,Plains GP Holdings,http://fortune.com/fortune500/plains-gp-holdings-67/,www.plainsallamerican.com
68,World Fuel Services,http://fortune.com/fortune500/world-fuel-services-68/,www.wfscorp.com
69,CHS,http://fortune.com/fortune500/chs-69/,www.chsinc.com
70,American Airlines Group,http://fortune.com/fortune500/american-airlines-group-70/,www.aa.com
71,Merck,http://fortune.com/fortune500/merck-71/,www.merck.com
72,Best Buy,http://fortune.com/fortune500/best-buy-72/,www.bestbuy.com
73,Delta Air Lines,http://fortune.com/fortune500/delta-air-lines-73/,www.delta.com
74,Honeywell International,http://fortune.com/fortune500/honeywell-international-74/,www.honeywell.com
75,HCA Holdings,http://fortune.com/fortune500/hca-holdings-75/,www.hcahealthcare.com
76,Goldman Sachs Group,http://fortune.com/fortune500/goldman-sachs-group-76/,www.gs.com
77,Tesoro,http://fortune.com/fortune500/tesoro-77/,www.tsocorp.com
78,Liberty Mutual Insurance Group,http://fortune.com/fortune500/liberty-mutual-insurance-group-78/,www.libertymutual.com
79,United Continental Holdings,http://fortune.com/fortune500/united-continental-holdings-79/,www.unitedcontinentalholdings.com
80,New York Life Insurance,http://fortune.com/fortune500/new-york-life-insurance-80/,www.newyorklife.com
81,Oracle,http://fortune.com/fortune500/oracle-81/,www.oracle.com
82,Morgan Stanley,http://fortune.com/fortune500/morgan-stanley-82/,www.morganstanley.com
83,Tyson Foods,http://fortune.com/fortune500/tyson-foods-83/,www.tysonfoods.com
84,Safeway,http://fortune.com/fortune500/safeway-84/,www.safeway.com
85,Nationwide,http://fortune.com/fortune500/nationwide-85/,www.nationwide.com
86,Deere,http://fortune.com/fortune500/deere-86/,www.johndeere.com
87,DuPont,http://fortune.com/fortune500/dupont-87/,www.dupont.com
88,American Express,http://fortune.com/fortune500/american-express-88/,www.americanexpress.com
89,Allstate,http://fortune.com/fortune500/allstate-89/,www.allstate.com
90,Cigna,http://fortune.com/fortune500/cigna-90/,www.cigna.com
91,Mondelez International,http://fortune.com/fortune500/mondelez-international-91/,www.mondelezinternational.com
92,TIAA-CREF,http://fortune.com/fortune500/tiaa-cref-92/,www.tiaa-cref.org
93,INTL FCStone,http://fortune.com/fortune500/intl-fcstone-93/,www.intlfcstone.com
94,Massachusetts Mutual Life Insurance,http://fortune.com/fortune500/massachusetts-mutual-life-insurance-94/,www.massmutual.com
95,DirecTV,http://fortune.com/fortune500/directv-95/,www.directv.com
96,Halliburton,http://fortune.com/fortune500/halliburton-96/,www.halliburton.com
97,Twenty-First Century Fox,http://fortune.com/fortune500/twenty-first-century-fox-97/,www.21cf.com
98,3M,http://fortune.com/fortune500/3m-98/,www.3m.com
99,Sears Holdings,http://fortune.com/fortune500/sears-holdings-99/,www.searsholdings.com
100,General Dynamics,http://fortune.com/fortune500/general-dynamics-100/,www.generaldynamics.com
101,Publix Super Markets,http://fortune.com/fortune500/publix-super-markets-101/,www.publix.com
102,Philip Morris International,http://fortune.com/fortune500/philip-morris-international-102/,www.pmi.com
103,TJX,http://fortune.com/fortune500/tjx-103/,www.tjx.com
104,Time Warner,http://fortune.com/fortune500/time-warner-104/,www.timewarner.com
105,Macy's,http://fortune.com/fortune500/macys-105/,www.macysinc.com
