Rank,Company,Revenue (M USD),Fortune.com link about company,Website
1,Walmart,"$482,130",http://www.fortune.com/fortune500/walmart-1,www.walmart.com
2,Exxon Mobil,"$246,204",http://www.fortune.com/fortune500/exxon-mobil-2,www.exxonmobil.com
3,Apple,"$233,715",http://www.fortune.com/fortune500/apple-3,www.apple.com
4,Berkshire Hathaway,"$210,821",http://www.fortune.com/fortune500/berkshire-hathaway-4,www.berkshirehathaway.com
5,McKesson,"$181,241",http://www.fortune.com/fortune500/mckesson-5,www.mckesson.com
6,UnitedHealth Group,"$157,107",http://www.fortune.com/fortune500/unitedhealth-group-6,www.unitedhealthgroup.com
7,CVS Health,"$153,290",http://www.fortune.com/fortune500/cvs-health-7,www.cvshealth.com
8,General Motors,"$152,356",http://www.fortune.com/fortune500/general-motors-8,www.gm.com
9,Ford Motor,"$149,558",http://www.fortune.com/fortune500/ford-motor-9,www.ford.com
10,AT&T,"$146,801",http://www.fortune.com/fortune500/att-10,www.att.com
11,General Electric,"$140,389",http://www.fortune.com/fortune500/general-electric-11,www.ge.com
12,AmerisourceBergen,"$135,962",http://www.fortune.com/fortune500/amerisourcebergen-12,www.amerisourcebergen.com
13,Verizon,"$131,620",http://www.fortune.com/fortune500/verizon-communications-13,www.verizon.com
14,Chevron,"$131,118",http://www.fortune.com/fortune500/chevron-14,www.chevron.com
15,Costco,"$116,199",http://www.fortune.com/fortune500/costco-wholesale-15,www.costco.com
16,Fannie Mae,"$110,359",http://www.fortune.com/fortune500/fannie-mae-16,www.fanniemae.com
17,Kroger,"$109,830",http://www.fortune.com/fortune500/kroger-17,www.thekrogerco.com
18,Amazon,"$107,006",http://www.fortune.com/fortune500/amazon-com-18,www.amazon.com
19,Walgreens Boots Alliance,"$103,444",http://www.fortune.com/fortune500/walgreens-boots-alliance-19,www.walgreensbootsalliance.com
20,HP,"$103,355",http://www.fortune.com/fortune500/hp-20,www.hp.com
21,Cardinal Health,"$102,531",http://www.fortune.com/fortune500/cardinal-health-21,www.cardinal.com
22,Express Scripts Holding,"$101,752",http://www.fortune.com/fortune500/express-scripts-holding-22,www.express-scripts.com
23,J.P. Morgan Chase,"$101,006",http://www.fortune.com/fortune500/jpmorgan-chase-23,www.jpmorganchase.com
24,Boeing,"$96,114",http://www.fortune.com/fortune500/boeing-24,www.boeing.com
25,Microsoft,"$93,580",http://www.fortune.com/fortune500/microsoft-25,www.microsoft.com
26,Bank of America Corp.,"$93,056",http://www.fortune.com/fortune500/bank-of-america-corp-26,www.bankofamerica.com
27,Wells Fargo,"$90,033",http://www.fortune.com/fortune500/wells-fargo-27,www.wellsfargo.com
28,Home Depot,"$88,519",http://www.fortune.com/fortune500/home-depot-28,www.homedepot.com
29,Citigroup,"$88,275",http://www.fortune.com/fortune500/citigroup-29,www.citigroup.com
30,Phillips 66,"$87,169",http://www.fortune.com/fortune500/phillips-66-30,www.phillips66.com
31,IBM,"$82,461",http://www.fortune.com/fortune500/ibm-31,www.ibm.com
32,Valero Energy,"$81,824",http://www.fortune.com/fortune500/valero-energy-32,www.valero.com
33,Anthem,"$79,157",http://www.fortune.com/fortune500/anthem-33,www.antheminc.com
34,Procter & Gamble,"$78,756",http://www.fortune.com/fortune500/procter-gamble-34,www.pg.com
35,State Farm Insurance Cos.,"$75,697",http://www.fortune.com/fortune500/state-farm-insurance-cos-35,www.statefarm.com
36,Alphabet,"$74,989",http://www.fortune.com/fortune500/alphabet-36,www.google.com
37,Comcast,"$74,510",http://www.fortune.com/fortune500/comcast-37,www.comcastcorporation.com
38,Target,"$73,785",http://www.fortune.com/fortune500/target-38,www.target.com
39,Johnson & Johnson,"$70,074",http://www.fortune.com/fortune500/johnson-johnson-39,www.jnj.com
40,MetLife,"$69,951",http://www.fortune.com/fortune500/metlife-40,www.metlife.com
41,Archer Daniels Midland,"$67,702",http://www.fortune.com/fortune500/archer-daniels-midland-41,www.adm.com
42,Marathon Petroleum,"$64,566",http://www.fortune.com/fortune500/marathon-petroleum-42,www.marathonpetroleum.com
43,Freddie Mac,"$63,491",http://www.fortune.com/fortune500/freddie-mac-43,www.freddiemac.com
44,PepsiCo,"$63,056",http://www.fortune.com/fortune500/pepsico-44,www.pepsico.com
45,United Technologies,"$61,047",http://www.fortune.com/fortune500/united-technologies-45,www.utc.com
46,Aetna,"$60,337",http://www.fortune.com/fortune500/aetna-46,www.aetna.com
47,Lowe’s,"$59,074",http://www.fortune.com/fortune500/lowes-47,www.lowes.com
48,UPS,"$58,363",http://www.fortune.com/fortune500/ups-48,www.ups.com
49,AIG,"$58,327",http://www.fortune.com/fortune500/aig-49,www.aig.com
50,Prudential Financial,"$57,119",http://www.fortune.com/fortune500/prudential-financial-50,www.prudential.com
51,Intel,"$55,355",http://www.fortune.com/fortune500/intel-51,www.intel.com
52,Humana,"$54,289",http://www.fortune.com/fortune500/humana-52,www.humana.com
53,Disney,"$52,465",http://www.fortune.com/fortune500/disney-53,www.disney.com
54,Cisco Systems,"$49,161",http://www.fortune.com/fortune500/cisco-systems-54,www.cisco.com
55,Pfizer,"$48,851",http://www.fortune.com/fortune500/pfizer-55,www.pfizer.com
56,Dow Chemical,"$48,778",http://www.fortune.com/fortune500/dow-chemical-56,www.dow.com
57,Sysco,"$48,681",http://www.fortune.com/fortune500/sysco-57,www.sysco.com
58,FedEx,"$47,453",http://www.fortune.com/fortune500/fedex-58,www.fedex.com
59,Caterpillar,"$47,011",http://www.fortune.com/fortune500/caterpillar-59,www.caterpillar.com
60,Lockheed Martin,"$46,132",http://www.fortune.com/fortune500/lockheed-martin-60,www.lockheedmartin.com
61,New York Life Insurance,"$45,891",http://www.fortune.com/fortune500/new-york-life-insurance-61,www.newyorklife.com
62,Coca-Cola,"$44,294",http://www.fortune.com/fortune500/coca-cola-62,www.coca-colacompany.com
63,HCA Holdings,"$43,591",http://www.fortune.com/fortune500/hca-holdings-63,www.hcahealthcare.com
64,Ingram Micro,"$43,026",http://www.fortune.com/fortune500/ingram-micro-64,www.ingrammicro.com
65,Energy Transfer Equity,"$42,126",http://www.fortune.com/fortune500/energy-transfer-equity-65,www.energytransfer.com
66,Tyson Foods,"$41,373",http://www.fortune.com/fortune500/tyson-foods-66,www.tysonfoods.com
67,American Airlines Group,"$40,990",http://www.fortune.com/fortune500/american-airlines-group-67,www.aa.com
68,Delta Air Lines,"$40,704",http://www.fortune.com/fortune500/delta-air-lines-68,www.delta.com
69,Nationwide,"$40,222",http://www.fortune.com/fortune500/nationwide-69,www.nationwide.com
70,Johnson Controls,"$40,204",http://www.fortune.com/fortune500/johnson-controls-70,www.johnsoncontrols.com
71,Best Buy,"$39,745",http://www.fortune.com/fortune500/best-buy-71,www.bestbuy.com
72,Merck,"$39,498",http://www.fortune.com/fortune500/merck-72,www.merck.com
73,Liberty Mutual Insurance Group,"$39,450",http://www.fortune.com/fortune500/liberty-mutual-insurance-group-73,www.libertymutual.com
74,Goldman Sachs Group,"$39,208",http://www.fortune.com/fortune500/goldman-sachs-group-74,www.gs.com
75,Honeywell International,"$38,581",http://www.fortune.com/fortune500/honeywell-international-75,www.honeywell.com
76,Massachusetts Mutual Life Insurance,"$38,243",http://www.fortune.com/fortune500/massachusetts-mutual-life-76,www.massmutual.com
