f500_rank,org,sector,industry,employees,website
1,Walmart,Retailing,General Merchandisers,23e5,www.stock.walmart.com
2,Exxon Mobil,Energy,Petroleum Refining,71200,www.exxonmobil.com
3,Berkshire Hathaway,Financials,Insurance: Property and Casualty (Stock),377e3,www.berkshirehathaway.com
4,Apple,Technology,"Computers, Office Equipment",123e3,www.apple.com
5,UnitedHealth Group,Health Care,Health Care: Insurance and Managed Care,26e4,www.unitedhealthgroup.com
6,McKesson,Wholesalers,Wholesalers: Health Care,64500,www.mckesson.com
7,CVS Health,Health Care,Health Care: Pharmacy and Other Services,203e3,www.cvshealth.com
8,Amazon.com,Retailing,Internet Services and Retailing,566e3,www.amazon.com
9,AT&T,Telecommunications,Telecommunications,254e3,www.att.com
10,General Motors,Motor Vehicles & Parts,Motor Vehicles and Parts,18e4,www.gm.com
11,Ford Motor,Motor Vehicles & Parts,Motor Vehicles and Parts,202e3,www.corporate.ford.com
12,AmerisourceBergen,Wholesalers,Wholesalers: Health Care,19500,www.amerisourcebergen.com
13,Chevron,Energy,Petroleum Refining,51900,www.chevron.com
14,Cardinal Health,Wholesalers,Wholesalers: Health Care,40400,www.cardinalhealth.com
15,Costco,Retailing,General Merchandisers,182e3,www.costco.com
16,Verizon,Telecommunications,Telecommunications,155400,www.verizon.com
17,Kroger,Food & Drug Stores,Food and Drug Stores,449e3,www.thekrogerco.com
18,General Electric,Industrials,Industrial Machinery,313e3,www.ge.com
19,Walgreens Boots Alliance,Food & Drug Stores,Food and Drug Stores,29e4,www.walgreensbootsalliance.com
20,JPMorgan Chase,Financials,Commercial Banks,252539,www.jpmorganchase.com
21,Fannie Mae,Financials,Diversified Financials,7200,www.fanniemae.com
22,Alphabet,Technology,Internet Services and Retailing,80110,www.abc.xyz
23,Home Depot,Retailing,Specialty Retailers: Other,413e3,www.homedepot.com
24,Bank of America Corp.,Financials,Commercial Banks,209376,www.bankofamerica.com
25,Express Scripts Holding,Health Care,Health Care: Pharmacy and Other Services,26600,www.express-scripts.com
26,Wells Fargo,Financials,Commercial Banks,262700,www.wellsfargo.com
27,Boeing,Aerospace & Defense,Aerospace and Defense,140800,www.boeing.com
28,Phillips 66,Energy,Petroleum Refining,14600,www.phillips66.com
29,Anthem,Health Care,Health Care: Insurance and Managed Care,56e3,www.antheminc.com
30,Microsoft,Technology,Computer Software,124e3,www.microsoft.com
31,Valero Energy,Energy,Petroleum Refining,10015,www.valero.com
32,Citigroup,Financials,Commercial Banks,209e3,www.citigroup.com
33,Comcast,Telecommunications,Telecommunications,164e3,www.comcastcorporation.com
34,IBM,Technology,Information Technology Services,397800,www.ibm.com
35,Dell Technologies,Technology,"Computers, Office Equipment",145e3,www.delltechnologies.com
36,State Farm Insurance Cos.,Financials,Insurance: Property and Casualty (Mutual),65664,www.statefarm.com
37,Johnson & Johnson,Health Care,Pharmaceuticals,134e3,www.jnj.com
38,Freddie Mac,Financials,Diversified Financials,6165,www.freddiemac.com
39,Target,Retailing,General Merchandisers,345e3,www.target.com
40,Lowe’s,Retailing,Specialty Retailers: Other,255e3,www.lowes.com
41,Marathon Petroleum,Energy,Petroleum Refining,43800,www.marathonpetroleum.com
42,Procter & Gamble,Household Products,Household and Personal Products,95e3,www.pg.com
43,MetLife,Financials,"Insurance: Life, Health (stock)",49e3,www.metlife.com
44,UPS,Transportation,"Mail, Package, and Freight Delivery",346415,www.ups.com
45,PepsiCo,"Food, Beverages & Tobacco",Food Consumer Products,263e3,www.pepsico.com
46,Intel,Technology,Semiconductors and Other Electronic Components,102700,www.intel.com
47,DowDuPont,Chemicals,Chemicals,98e3,www.dow-dupont.com
48,Archer Daniels Midland,"Food, Beverages & Tobacco",Food Production,31300,www.adm.com
49,Aetna,Health Care,Health Care: Insurance and Managed Care,47950,www.aetna.com
50,FedEx,Transportation,"Mail, Package, and Freight Delivery",357e3,www.fedex.com
51,United Technologies,Aerospace & Defense,Aerospace and Defense,204700,www.utc.com
52,Prudential Financial,Financials,"Insurance: Life, Health (stock)",49705,www.prudential.com
53,Albertsons Cos.,Food & Drug Stores,Food and Drug Stores,273e3,www.albertsons.com
54,Sysco,Wholesalers,Wholesalers: Food and Grocery,66500,www.sysco.com
55,Disney,Media,Entertainment,199e3,www.disney.com
56,Humana,Health Care,Health Care: Insurance and Managed Care,45900,www.humana.com
57,Pfizer,Health Care,Pharmaceuticals,90200,www.pfizer.com
58,HP,Technology,"Computers, Office Equipment",49e3,www.hp.com
59,Lockheed Martin,Aerospace & Defense,Aerospace and Defense,1e5,www.lockheedmartin.com
60,AIG,Financials,Insurance: Property and Casualty (Stock),49800,www.aig.com
61,Centene,Health Care,Health Care: Insurance and Managed Care,33700,www.centene.com
62,Cisco Systems,Technology,Network and Other Communications Equipment,72900,www.cisco.com
63,HCA Healthcare,Health Care,Health Care: Medical Facilities,221491,www.hcahealthcare.com
64,Energy Transfer Equity,Energy,Pipelines,29486,www.energytransfer.com
65,Caterpillar,Industrials,Construction and Farm Machinery,98400,www.caterpillar.com
66,Nationwide,Financials,Insurance: Property and Casualty (Mutual),33135,www.nationwide.com
67,Morgan Stanley,Financials,Commercial Banks,57633,www.morganstanley.com
68,Liberty Mutual Insurance Group,Financials,Insurance: Property and Casualty (Stock),5e4,www.libertymutual.com
69,New York Life Insurance,Financials,"Insurance: Life, Health (Mutual)",11114,www.newyorklife.com
70,Goldman Sachs Group,Financials,Commercial Banks,36600,www.gs.com
71,American Airlines Group,Transportation,Airlines,126600,www.aa.com
72,Best Buy,Retailing,Specialty Retailers: Other,125e3,www.bestbuy.com
73,Cigna,Health Care,Health Care: Insurance and Managed Care,46e3,www.cigna.com
74,Charter Communications,Telecommunications,Telecommunications,94800,www.charter.com
75,Delta Air Lines,Transportation,Airlines,86564,www.delta.com
76,Facebook,Technology,Internet Services and Retailing,25105,www.facebook.com
77,Honeywell International,Industrials,"Electronics, Electrical Equip.",131e3,www.honeywell.com
78,Merck,Health Care,Pharmaceuticals,69e3,www.merck.com
79,Allstate,Financials,Insurance: Property and Casualty (Stock),42680,www.allstate.com
80,Tyson Foods,"Food, Beverages & Tobacco",Food Production,122e3,www.tysonfoods.com
81,United Continental Holdings,Transportation,Airlines,89800,www.united.com
82,Oracle,Technology,Computer Software,138e3,www.oracle.com
83,Tech Data,Wholesalers,Wholesalers: Electronics and Office Equipment,14e3,www.techdata.com
84,TIAA,Financials,"Insurance: Life, Health (Mutual)",16829,www.tiaa.org
85,TJX,Retailing,Specialty Retailers: Apparel,249e3,www.tjx.com
